# LINEA TEMPORALE DETTAGLIATA - PROGETTO VILLARBASSE

## ANTEFATTI E CONTESTO STORICO

| Data | Evento | Linea narrativa | Note/Contesto storico |
|------|--------|-----------------|----------------------|
| 1908 | **Terremoto di Messina** - La famiglia Fosco sopravvive, ma perde la casa e molti parenti | Fosco (flashback) | Trauma formativo che segna la famiglia di Fosco e influenza la sua visione della precarietà umana |
| 1918 | **Nascita di Armando Fosco** a Messina | Fosco (menzione) | Durante una visita alla tomba della madre, Fosco ricorda questo dettaglio |
| 1929 | **Massimo Monteforte assume Teresa Conti** come governante | Teresa | Inizio della relazione professionale che si trasformerà in un legame sentimentale segreto |
| 1930 | **Nasce Michele**, figlio di Teresa da una precedente relazione | Teresa (flashback) | Teresa non parla mai direttamente di lui, ma oggetti e ricordi affiorano nella narrazione |
| 1933 | **Michele muore di febbre** a tre anni | Teresa (flashback) | Monteforte fa montare la foglia di quercia raccolta dal bambino in uno spillone d'argento |
| 1938 | **Morte della madre di Fosco** per tubercolosi | Fosco (menzione) | Influisce sulla sua scelta di arruolarsi e sul distacco dalla Sicilia |
| 8 settembre 1943 | **Armistizio di Cassabile** - Renato Battaglia si unisce ai partigiani in Piemonte | Teresa (racconto di Renato) | La cascina diventa un nodo di contatti tra partigiani e agricoltori locali |
| 1943-1944 | **Monteforte finanzia segretamente i partigiani** mentre pubblicamente mantiene rapporti con le autorità fasciste | Teresa | Documenti nascosti nella sua cassaforte lo dimostrano |
| Inverno 1944 | **Fosco prigioniero degli inglesi** dopo El Alamein, sceglie di unirsi al Corpo Italiano di Liberazione | Fosco (flashback) | Esperienze di guerra che lo segnano profondamente |
| Primavera 1944 | **Fosco aiuta un giovane soldato della RSI** a disertare, che viene poi catturato e impiccato dai partigiani | Fosco (incubo ricorrente) | Trauma che lo tormenta e influenza il suo approccio alla giustizia |
| 1944 | **Trovato viene arrestato per furto di cibo** e rinchiuso in un campo di lavoro | Trovato (flashback) | Esperienza traumatica che spezza la sua integrità morale |
| Primavera 1945 | **25 aprile - Liberazione** - I fratelli Battaglia partecipano all'insurrezione di Torino | Menzionato in tutte le linee | Creazione del mito dei fratelli Battaglia come eroi partigiani |
| Marzo 1945 | **Fosco arruolato nei Carabinieri** su raccomandazione di un ufficiale britannico | Fosco | Prima indagine su furti nei magazzini militari |
